timestamp,ip_src,ip_dst,ip_proto,sport,dport,tcp_flags,anomaly_flag,label
11:15.0,192.168.173.24,224.0.0.251,17,5353,5353,0,0,normal
11:17.0,192.168.173.51,192.168.173.24,17,59857,53,0,0,normal
11:17.1,192.168.173.24,192.168.173.51,17,53,59857,0,0,normal
11:17.1,192.168.173.51,192.168.173.24,6,58337,53,S,0,normal
11:17.1,192.168.173.24,192.168.173.51,6,53,58337,SA,0,normal
11:17.1,192.168.173.51,192.168.173.24,6,58337,53,A,0,normal
11:17.1,192.168.173.51,192.168.173.24,6,58337,53,PA,0,normal
11:17.1,192.168.173.24,192.168.173.51,6,53,58337,A,0,normal
11:17.2,192.168.173.24,192.168.173.51,6,53,58337,PA,0,normal
11:17.3,192.168.173.51,192.168.173.24,6,58337,53,A,0,normal
11:17.3,192.168.173.24,192.168.173.51,6,53,58337,PA,0,normal
11:17.3,192.168.173.51,192.168.173.24,6,58337,53,FA,0,normal
11:17.3,192.168.173.24,192.168.173.51,6,53,58337,FA,0,normal
11:17.4,192.168.173.51,192.168.173.24,6,58337,53,A,0,normal
11:17.4,192.168.173.51,20.50.88.238,6,58338,443,S,0,normal
11:17.4,192.168.173.51,20.192.44.78,6,50801,443,PA,0,normal
11:17.5,20.50.88.238,192.168.173.51,6,443,58338,SA,0,normal
11:17.5,192.168.173.51,20.50.88.238,6,58338,443,A,0,normal
11:17.5,192.168.173.51,20.50.88.238,6,58338,443,PA,0,normal
11:17.8,192.168.173.51,20.192.44.78,6,50801,443,PA,0,normal
11:17.8,20.50.88.238,192.168.173.51,6,443,58338,PA,0,normal
11:17.8,20.192.44.78,192.168.173.51,6,443,50801,A,0,normal
11:17.8,192.168.173.51,20.50.88.238,6,58338,443,PA,0,normal
11:17.9,192.168.173.51,20.50.88.241,6,63806,443,FA,0,normal
11:18.0,20.192.44.78,192.168.173.51,6,443,50801,A,0,normal
11:18.1,20.50.88.238,192.168.173.51,6,443,58338,A,0,normal
11:18.1,20.50.88.238,192.168.173.51,6,443,58338,A,0,normal
11:18.1,192.168.173.51,20.50.88.238,6,58338,443,A,0,normal
11:18.1,20.50.88.238,192.168.173.51,6,443,58338,A,0,normal
11:18.1,20.50.88.238,192.168.173.51,6,443,58338,PA,0,normal
11:18.1,192.168.173.51,20.50.88.238,6,58338,443,A,0,normal
11:18.1,192.168.173.51,20.50.88.238,6,58338,443,PA,0,normal
11:18.1,192.168.173.51,20.50.88.238,6,58338,443,PA,0,normal
11:18.2,20.50.88.241,192.168.173.51,6,443,63806,FA,0,normal
11:18.7,192.168.173.51,20.50.88.241,6,63806,443,A,0,normal
11:18.7,192.168.173.51,20.50.88.238,6,58338,443,PA,0,normal
11:19.2,20.50.88.238,192.168.173.51,6,443,58338,PA,0,normal
11:19.2,20.50.88.238,192.168.173.51,6,443,58338,A,0,normal
11:19.2,20.50.88.238,192.168.173.51,6,443,58338,PA,0,normal
11:19.2,20.50.88.238,192.168.173.51,6,443,58338,PA,0,normal
11:19.2,20.50.88.238,192.168.173.51,6,443,58338,PA,0,normal
11:19.2,192.168.173.51,20.50.88.238,6,58338,443,A,0,normal
11:19.2,192.168.173.51,20.50.88.238,6,58338,443,A,0,normal
11:19.3,192.168.173.51,20.50.88.238,6,58338,443,A,0,normal
11:19.3,13.107.5.93,192.168.173.51,6,443,50820,RA,0,normal
11:19.3,20.50.88.238,192.168.173.51,6,443,58338,A,0,normal
11:19.5,192.168.173.51,239.255.255.250,17,53566,1900,0,0,normal
11:19.6,192.168.173.51,192.168.90.142,6,58339,7680,S,0,normal
11:19.6,192.168.173.51,192.168.200.56,6,58341,7680,S,0,normal
11:20.5,192.168.173.51,192.168.173.24,17,59857,53,0,0,normal
11:20.6,192.168.173.24,192.168.173.51,17,53,59857,0,0,normal
11:20.6,192.168.173.51,20.42.73.26,6,58343,443,S,0,normal
11:20.6,192.168.173.51,192.168.90.142,6,58339,7680,S,0,normal
11:20.7,192.168.173.51,192.168.200.56,6,58341,7680,S,0,normal
11:20.7,192.168.173.51,142.250.110.188,6,62034,5228,PA,0,normal
11:20.9,20.42.73.26,192.168.173.51,6,443,58343,SA,0,normal
11:20.9,192.168.173.51,20.42.73.26,6,58343,443,A,0,normal
11:20.9,192.168.173.51,20.42.73.26,6,58343,443,PA,0,normal
11:20.9,142.250.110.188,192.168.173.51,6,5228,62034,A,0,normal
11:21.0,142.250.110.188,192.168.173.51,6,5228,62034,PA,0,normal
11:21.0,192.168.173.51,142.250.110.188,6,62034,5228,A,0,normal
11:21.2,20.42.73.26,192.168.173.51,6,443,58343,PA,0,normal
11:21.2,192.168.173.51,20.42.73.26,6,58343,443,A,0,normal
11:21.2,192.168.173.51,20.42.73.26,6,58343,443,PA,0,normal
11:21.5,20.42.73.26,192.168.173.51,6,443,58343,A,0,normal
11:21.5,20.42.73.26,192.168.173.51,6,443,58343,A,0,normal
11:21.5,192.168.173.51,20.42.73.26,6,58343,443,A,0,normal
11:21.5,20.42.73.26,192.168.173.51,6,443,58343,A,0,normal
11:21.5,20.42.73.26,192.168.173.51,6,443,58343,A,0,normal
11:21.5,192.168.173.51,20.42.73.26,6,58343,443,A,0,normal
11:21.5,192.168.173.51,20.42.73.26,6,58343,443,A,0,normal
11:21.5,20.42.73.26,192.168.173.51,6,443,58343,PA,0,normal
11:21.5,20.42.73.26,192.168.173.51,6,443,58343,A,0,normal
11:21.6,192.168.173.51,20.42.73.26,6,58343,443,A,0,normal
11:21.6,192.168.173.51,20.42.73.26,6,58343,443,A,0,normal
11:21.6,192.168.173.51,20.42.73.26,6,58343,443,PA,0,normal
11:21.8,192.168.173.51,20.42.73.26,6,58343,443,PA,0,normal
11:21.8,20.192.44.78,192.168.173.51,6,443,50801,PA,0,normal
11:21.9,20.42.73.26,192.168.173.51,6,443,58343,PA,0,normal
11:21.9,192.168.173.51,20.42.73.26,6,58343,443,A,0,normal
11:21.9,20.42.73.26,192.168.173.51,6,443,58343,A,0,normal
11:21.9,20.42.73.26,192.168.173.51,6,443,58343,PA,0,normal
11:21.9,192.168.173.51,20.42.73.26,6,58343,443,A,0,normal
11:21.9,192.168.173.51,20.192.44.78,6,50801,443,A,0,normal
11:22.5,192.168.173.51,239.255.255.250,17,53566,1900,0,0,normal
