timestamp,ip_src,ip_dst,ip_proto,sport,dport,tcp_flags,label
1718871502.538199,192.168.200.41,239.255.255.250,17,52941,3702,0,0
1718871502.916374,192.168.200.70,192.168.200.255,17,137,137,0,0
1718871502.971758,192.168.200.70,239.255.255.250,17,64439,3702,0,0
1718871503.118843,192.168.200.41,239.255.255.250,17,52941,3702,0,0
1718871504.061621,192.168.200.41,239.255.255.250,17,52941,3702,0,0
1718871504.54814,192.168.200.41,239.255.255.250,17,52941,3702,0,0
1718871504.675222,192.168.200.41,239.255.255.250,17,52941,3702,0,0
1718871504.851028,192.168.200.48,224.0.0.251,17,5353,5353,0,0
1718871504.969756,192.168.200.70,239.255.255.250,17,64439,3702,0,0
1718871509.028011,192.168.200.121,224.0.0.251,17,5353,5353,0,0
1718871510.074483,192.168.200.121,224.0.0.251,17,5353,5353,0,0
1718871511.11331,192.168.200.108,224.0.0.251,17,5353,5353,0,0
1718871512.15524,192.168.200.120,20.238.236.234,6,49328,443,A,0
1718871512.411115,20.238.236.234,192.168.200.120,6,443,49328,A,0
1718871512.763848,192.168.200.79,239.255.255.250,17,56366,3702,0,0
1718871512.911576,192.168.200.79,239.255.255.250,17,56366,3702,0,0
1718871513.081162,192.168.200.121,224.0.0.251,17,5353,5353,0,0
1718871513.193024,192.168.200.79,239.255.255.250,17,56366,3702,0,0
1718871513.48641,52.108.56.17,192.168.200.120,6,443,49737,PA,0
1718871513.534944,192.168.200.120,52.108.56.17,6,49737,443,A,0
1718871513.627774,192.168.200.121,224.0.0.251,17,5353,5353,0,0
1718871514.407937,192.168.200.52,239.255.255.250,17,34832,1900,0,0
1718871514.642034,192.168.200.121,224.0.0.251,17,5353,5353,0,0
1718871514.892208,192.168.200.79,239.255.255.250,17,56366,3702,0,0
1718871515.323668,192.168.200.52,239.255.255.250,17,34832,1900,0,0
1718871515.549082,192.168.200.120,20.50.80.214,6,49923,443,S,0
1718871515.645425,192.168.200.79,192.168.200.255,17,137,137,0,0
1718871515.746202,20.50.80.214,192.168.200.120,6,443,49923,SA,0
1718871515.775181,192.168.200.120,20.50.80.214,6,49923,443,A,0
1718871515.801542,192.168.200.120,20.50.80.214,6,49923,443,PA,0
1718871515.961497,20.50.80.214,192.168.200.120,6,443,49923,PA,0
1718871515.977141,192.168.200.120,20.50.80.214,6,49923,443,A,0
1718871516.003177,192.168.200.120,20.50.80.214,6,49923,443,PA,0
1718871516.182349,20.50.80.214,192.168.200.120,6,443,49923,A,0
1718871516.198301,192.168.200.120,20.50.80.214,6,49923,443,A,0
1718871516.22959,20.50.80.214,192.168.200.120,6,443,49923,A,0
1718871516.361868,192.168.200.120,20.50.80.214,6,49923,443,A,0
1718871516.381124,20.50.80.214,192.168.200.120,6,443,49923,A,0
1718871516.405347,192.168.200.120,20.50.80.214,6,49923,443,A,0
1718871516.428032,20.50.80.214,192.168.200.120,6,443,49923,A,0
1718871516.444084,192.168.200.120,20.50.80.214,6,49923,443,A,0
1718871516.469363,20.50.80.214,192.168.200.120,6,443,49923,PA,0
